,#,text,target,model,compare,pred1,pred5,compare1,compare2
0,1,"Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,How do you make a small fortune in social media?  Start out with a large one.,1,1.0,0.0,1.0,1.0,0.0,0.0
2,3,"Don't wanna jinx it, but there's a chance we can keep Twitter alive",1,0.0,-1.0,0.0,0.0,-1.0,-1.0
3,4,"The best people are staying, so I'm not super worried",1,1.0,0.0,1.0,1.0,0.0,0.0
4,5,And we just hit another all-time high in Twitter usage lol,1,1.0,0.0,1.0,1.0,0.0,0.0
5,6,"The media constantly writing about Twitter is driving usage to all-time highs, so it's fine by me!",1,1.0,0.0,1.0,1.0,0.0,0.0
6,7,Cybertruck is something special that comes along once in a long while,1,1.0,0.0,1.0,1.0,0.0,0.0
7,8,"Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.  Somehow, other countries do just fine without class-action law.",0,1.0,1.0,1.0,1.0,1.0,1.0
8,9,The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,We're working on something that should rank replies automatically,1,1.0,0.0,1.0,1.0,0.0,0.0
10,11,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",0,1.0,1.0,1.0,1.0,1.0,1.0
11,12,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,1,1.0,0.0,1.0,1.0,0.0,0.0
12,13,"Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",1,1.0,0.0,1.0,1.0,0.0,0.0
13,14,People have no idea how fast Twitter will evolve,1,1.0,0.0,1.0,1.0,0.0,0.0
14,15,Model S received the highest overall score from Euro NCAP among any vehicle tested under the current protocol,1,1.0,0.0,1.0,1.0,0.0,0.0
15,16,"Wait a second, how do we know you're not an alien body snatcher pretending to be Jimmy!?   Say something that only the real Jimmy would say",0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,"To heir is human, to forgive, divine (something like that)",1,1.0,0.0,1.0,1.0,0.0,0.0
17,18,"LIVE NOW: The Artemis era of exploration begins today with  I, the first integrated test flight of the rocket",1,1.0,0.0,1.0,1.0,0.0,0.0
