,#,text,target,pred2,pred5,compare1,compare2
0,1,record number user log see twitter dead iron make aliv ever,0,0.0,0.0,0.0,0.0
1,2,make small fortun social medium start larg,1,1.0,1.0,0.0,0.0
2,3,dont wanna jinx chanc keep twitter aliv,1,0.0,0.0,-1.0,-1.0
3,4,best peopl stay not super worri,1,0.0,1.0,-1.0,0.0
4,5,hit alltim high twitter usag lol,1,1.0,1.0,0.0,0.0
5,6,medium constantli write twitter drive usag alltim high fine,1,1.0,1.0,0.0,0.0
6,7,cybertruck someth special come long,1,1.0,1.0,0.0,0.0
7,8,current classact law actual massiv tax american peopl reform reason medic expen usa somehow countri fine classact law,0,1.0,1.0,1.0,1.0
8,9,actual attack classact lawsuit law firm find someon class puppet,0,0.0,0.0,0.0,0.0
9,10,work someth rank repli automat,1,1.0,1.0,0.0,0.0
10,11,sbf ineffect altruism think say effect altruism easi misunderstand,1,1.0,1.0,0.0,0.0
11,12,coverag ftx meltdown incompar faster good qualiti twitter oldschool medium,1,1.0,1.0,0.0,0.0
12,13,correct continu run twitter strong place take time,1,1.0,1.0,0.0,0.0
13,14,peopl idea fast twitter evolv,1,1.0,1.0,0.0,0.0
14,15,model receiv high score euro ncap vehicl test current protocol,1,1.0,1.0,0.0,0.0
15,16,wait second know not alien bodi snatcher pretend jimmi say someth real jimmi say,0,0.0,0.0,0.0,0.0
16,17,human forgiv divin someth,1,1.0,1.0,0.0,0.0
17,18,live artemi era explor first integr test flight rocket,1,1.0,1.0,0.0,0.0
18,19,guardian use balanc moder leav integr far leav wing propaganda hope get back,0,0.0,0.0,0.0,0.0
19,20,apolog fix week,0,0.0,0.0,0.0,0.0
20,21,agr matter futur mani verifi follow,1,1.0,1.0,0.0,0.0
21,22,hard say celeb isnt abl sort follow count disallow delib imperson probabl solv thi,1,0.0,0.0,-1.0,-1.0
22,23,unpaid legaci blue checkmark remov month,0,0.0,0.0,0.0,0.0
23,24,new relea chang verifi name cau loss checkmark name confirm twitter meet term servic,1,1.0,1.0,0.0,0.0
24,25,punt relaunch blue verifi novemb th make sure rock solid,1,1.0,1.0,0.0,0.0
25,26,much appreci spacex not let nasa,1,0.0,0.0,-1.0,-1.0
26,27,import admit wrong fire big mistak,0,0.0,0.0,0.0,0.0
27,28,result peopl live long popul collap alreadi builtin due dramat decrea birth rate,0,0.0,0.0,0.0,0.0
28,29,apolog fire geniu immen talent doubt great use elsewh,0,1.0,1.0,1.0,1.0
29,30,server control team know stop work time time that’ “critic ” list,0,0.0,0.0,0.0,0.0
30,31,true server side bruteforc cant solv weak internet connect old phone worth note twitter india amp mani countri slow even late iphon,1,0.0,0.0,-1.0,-1.0
31,32,starlink rebuild internet space mayb know slightli guy write code websit,1,1.0,1.0,0.0,0.0
32,33,microserv server side critic twitter work accord server control team trim number reduc data usag serial trip simplifi app need improv speed use,1,0.0,0.0,-1.0,-1.0
33,34,twitter slow india indonesia amp mani countri fact not claim sec refresh homelin tweet common sometim doesnt work especi android phone question much delay due bandwidthlatencyapp,0,0.0,0.0,0.0,0.0
34,35,seem almost imposs time,0,0.0,0.0,0.0,0.0
35,36,twitter unu slow mani countri seem odd bandwidth onli,0,0.0,0.0,0.0,0.0
36,37,next test sec fire max oxygen fill test autogen pressur possibl static fire orbit launch attempt,1,1.0,1.0,0.0,0.0
37,38,extern not twitter low twitter publish mdau,0,1.0,0.0,1.0,0.0
38,39,part world refresh take second,0,1.0,1.0,1.0,1.0
39,40,mani serial request make app refresh timelin,1,1.0,1.0,0.0,0.0
